Simulator Results
Date:, Sat May 27 11:20:17 CEST 2023

Simulator Configuration
Simulation Type:,Terminating
Project Name:,WPA_attack_flow
Study Name:,study
Random Number Generator:,Mersenne Twister
Random Number Seed:,31756
Maximum Batches:,10000
Minimum Batches:,1000
Data Reporting Frequency:,1000
Display Update Frequency:,1000
BuildType:,Optimize
Execution Architecture:,64-bit
Runname:,Results
Output File:,Results_output.txt
Results File:,Results_results
Jackknife Variance:,On
Processors Per Experiment:,4
Maximize Processor Usage:,true
Processors Selected for Simulation:
PC-Antonio,amd64

Experiment 36
Experiment 36,Start Time:,Sat May 27 11:20:13 CEST 2023
Experiment 36,Finish Time:,Sat May 27 11:20:14 CEST 2023
Experiment 36,Elapsed Running Time:,0.71
Experiment 36,Total CPU Time:,0.066
Experiment 36,Batches Completed:,1000
Experiment 36,Experiment Name:,Experiment 36
Experiment 36,Global Variable Settings:
Experiment 36,short,apConfigProf,10
Experiment 36,bool,hasHardware,1
Experiment 36,short,networkHackingProf,0
Experiment 36,short,packetForgingProf,0
Experiment 36,short,socialEngineeringProf,0
Experiment 36,short,wantsDOS,1000
Experiment 36,short,wantsSensitiveInfo,200
Experiment 36, Results
Experiment 36,Result Type,Name,Start Time,End Time,Mean,,Confidence Interval,Failed To Converge
Experiment 36,Mean,SSIDandMAC,0.0,0.0,0,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,3.0,3.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,6.0,6.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,9.0,9.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,12.0,12.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,15.0,15.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,18.0,18.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,21.0,21.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,24.0,24.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,27.0,27.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,30.0,30.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,33.0,33.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,36.0,36.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,39.0,39.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,42.0,42.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,45.0,45.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,48.0,48.0,1,0000000000E00 ,+/-,0,0000000000E00 
Experiment 36,Mean,SSIDandMAC,51.0,51.0,1,0000000000E00 ,+/-,0,0000000000E00 
